uf,cod_uf,cod_munic,cod_ibge,municipio,pop2017
RO,11,00015,1100015,Alta Floresta D'Oeste,25437
RO,11,00023,1100023,Ariquemes,107345
RO,11,00031,1100031,Cabixi,6224
RO,11,00049,1100049,Cacoal,88507
RO,11,00056,1100056,Cerejeiras,17934
RO,11,00064,1100064,Colorado do Oeste,18467
RO,11,00072,1100072,Corumbiara,8659
RO,11,00080,1100080,Costa Marques,17400
RO,11,00098,1100098,Espig∆o D'Oeste,33030
RO,11,00106,1100106,Guajar†-Mirim,47451
RO,11,00114,1100114,Jaru,55871
RO,11,00122,1100122,Ji-Paran†,132667
RO,11,00130,1100130,Machadinho D'Oeste,38609
RO,11,00148,1100148,Nova BrasilÉndia D'Oeste,21747
RO,11,00155,1100155,Ouro Preto do Oeste,39759
RO,11,00189,1100189,Pimenta Bueno,38051
RO,11,00205,1100205,Porto Velho,519436
RO,11,00254,1100254,Presidente MÇdici,22124
RO,11,00262,1100262,Rio Crespo,3829
RO,11,00288,1100288,Rolim de Moura,57074
RO,11,00296,1100296,Santa Luzia D'Oeste,8198
RO,11,00304,1100304,Vilhena,95630
RO,11,00320,1100320,S∆o Miguel do GuaporÇ,24181
RO,11,00338,1100338,Nova MamorÇ,28891
RO,11,00346,1100346,Alvorada D'Oeste,16747
RO,11,00379,1100379,Alto Alegre dos Parecis,14045
RO,11,00403,1100403,Alto Para°so,20916
RO,11,00452,1100452,Buritis,39044
RO,11,00502,1100502,Novo Horizonte do Oeste,10051
RO,11,00601,1100601,CacaulÉndia,6460
RO,11,00700,1100700,Campo Novo de Rondìnia,14484
RO,11,00809,1100809,Candeias do Jamari,25266
RO,11,00908,1100908,Castanheiras,3550
RO,11,00924,1100924,Chupinguaia,10593
RO,11,00940,1100940,Cujubim,22443
RO,11,01005,1101005,Governador Jorge Teixeira,9745
RO,11,01104,1101104,Itapu∆ do Oeste,10310
RO,11,01203,1101203,Ministro Andreazza,10751
